dataset,features,model,iterations,pre_processing_algo,Mean AMI,Mean ARI: 
citeseer,True,gcn_vae,100,louvain,0.2519279029288064,0.25190742734417754
citeseer,True,gcn_vae,100,leiden,0.2592740518962581,0.2504519811941482
citeseer,True,gcn_vae,100,k-truss,0.2635536685914305,0.25462159636563486
citeseer,True,linear_vae,100,k-truss,0.35753906663646695,0.36032646616547437
citeseer,True,linear_vae,100,leiden,0.26126034685114496,0.21044560658153674
citeseer,True,linear_vae,100,louvain,0.2509668916592784,0.19277778701840345
citeseer,True,linear_vae,100,random,-0.0007008037624349924,-0.0005115012278303355
citeseer,True,gcn_vae,100,random,0.012573882369220921,0.00601305855174109
citeseer,True,gcn_vae,100,k-truss,0.30669634385853367,0.29390284129507943, k=5
citeseer,True,linear_vae,100,k-truss,0.35743096256243007,0.35700125493210144
citeseer,True,linear_vae,100,k-truss,0.35743096256243007,0.35700125493210144
citeseer,True,linear_vae,100,k-truss,0.35743096256243007,0.35700125493210144
citeseer,True,linear_vae,100,k-truss,0.35743096256243007,0.35700125493210144
citeseer,True,linear_vae,100,k-truss,0.35743096256243007,0.35700125493210144
cora,True,linear_vae,100,k-truss,0.3487001118502663,0.26812077170899234
cora,True,linear_vae,100,k-truss,0.34887520421747276,0.2664765262968496
cora,True,linear_vae,100,k-truss,0.4514900789581602,0.39286117913265184
cora,True,linear_vae,100,k-truss,0.45145670509839375,0.39287803484531725
cora,True,linear_vae,100,k-truss,0.45145670509839375,0.39287803484531725
cora,True,gcn_vae,100,k-truss,0.47778627695769516,0.4056433605954522
cora,True,linear_vae,100,k-truss,0.45145670509839375,0.39287803484531725
citeseer,True,linear_vae,60,k_truss,0.3020686582545351,0.27202258642356447
citeseer,True,linear_vae,100,k_truss,0.3145947686868263,0.2732479234602672
citeseer,True,linear_vae,100,k_truss,0.3145947686868263,0.2732479234602672
citeseer,True,linear_vae,100,k_truss,0.3026826917121418,0.24802900945385065
cora,True,linear_vae,100,k_truss,0.45096333595581645,0.3909093392208797,476.85341477394104
cora,False,linear_vae,100,k_truss,0.025704905233358014,0.01540090179995375,715.3936278820038
cora,True,gcn_vae,100,k_truss,0.47761536079813904,0.40580586804419216,428.69135308265686
cora,False,gcn_vae,100,k_truss,0.08204064661673,0.04081423032128328,461.7249002456665
cora,False,gcn_vae,100,leiden,0.38986410174201147,0.32457944466965843,365.9742386341095
cora,True,gcn_vae,100,leiden,0.5230937291153906,0.4981268343421494,343.93351674079895
cora,True,linear_vae,100,leiden,0.5075687364913503,0.46122454464308765,392.2964358329773
cora,False,linear_vae,100,leiden,0.4063278825560711,0.32800306081861724,465.2783398628235
cora,False,linear_vae,100,louvain,0.3600499617051057,0.2744536863547538,481.5524756908417
cora,True,linear_vae,100,louvain,0.5011942573906198,0.4332855921124092,405.82066822052
cora,True,gcn_vae,100,louvain,0.49016310430157745,0.38678489166609925,352.50249338150024
cora,False,gcn_vae,100,louvain,0.35766154195675653,0.2709159687975676,394.39910531044006
citeseer,False,gcn_vae,100,louvain,0.10949321528543757,0.07751521819815593,422.82512950897217
citeseer,True,gcn_vae,100,louvain,0.2659275261690664,0.2608841519625908,493.8857955932617
citeseer,True,linear_vae,100,louvain,0.25387067237036953,0.10578953058156221,559.7277495861053
citeseer,True,linear_vae,100,leiden,0.21296570021459335,0.1279975092633146,585.7294821739197
citeseer,True,gcn_vae,100,leiden,0.24646430470823083,0.23571483492408976,330.17112255096436
citeseer,True,gcn_vae,100,k_truss,0.29713585742929643,0.2819163630103919,378.4261586666107
citeseer,True,linear_vae,100,k_truss,0.3026826917121418,0.24802900945385065,667.7709314823151
citeseer,False,linear_vae,100,k_truss,0.010111096695480938,0.007779024473592471,826.201381444931
citeseer,False,gcn_vae,100,k_truss,0.03868297660541373,0.030377284806931595,480.6226255893707
citeseer,False,gcn_vae,100,leiden,0.10535177223478319,0.07988182762805834,412.2585024833679
citeseer,False,linear_vae,100,leiden,0.1568712969803104,0.05721203116959259,618.0055854320526
citeseer,False,linear_vae,100,louvain,0.15833180278766126,0.07939581413369642,621.8596875667572
citeseer,True,linear_vae,100,random,-0.00012476131914702712,-0.00013417867762480267,335.6442565917969
citeseer,True,gcn_vae,100,random,0.005879280694470218,0.0014292646187032702,339.027982711792
cora,True,linear_vae,100,random,0.0029229281911079077,0.0014696510131085234,243.93298935890198
cora,True,gcn_vae,100,random,0.00689158399588194,0.005994794687638426,330.6888678073883
cora,False,linear_vae,100,random,0.0029229281911079077,0.0014696510131085234,239.92471289634705
cora,False,gcn_vae,100,random,0.006845764874071996,0.0020468487291993615,446.58973455429077
citeseer,False,linear_vae,100,random,-0.0001247613191470276,-0.00013417867762480267,350.83268761634827
citeseer,False,gcn_vae,100,random,0.0037251021367390373,0.0029094775687684964,379.10125064849854
citeseer,True,linear_vae,100,leiden,0.19970036726982476,0.08388993551111153,1175.4732971191406
citeseer,True,gcn_vae,100,leiden,0.23227327875241577,0.19519151554601205,945.9733953475952
citeseer,True,linear_vae,100,k_truss,0.3026826917121418,0.24802900945385065,1340.8761434555054
citeseer,True,gcn_vae,100,k_truss,0.29713585742929643,0.2819163630103919,843.9834158420563
cora,True,gcn_vae,100,k_truss,0.47761536079813904,0.40580586804419216,876.6318142414093
cora,True,linear_vae,100,k_truss,0.45096333595581645,0.3909093392208797,1285.588327884674
cora,True,linear_vae,100,leiden,0.4831234229785199,0.37415601597043546,417.2982454299927
cora,True,gcn_vae,100,leiden,0.5248682853288604,0.47205130906723797,341.7656891345978
citeseer,True,linear_vae,100,louvain,0.25387067237036953,0.10578953058156221,1180.2680523395538
blogs,True,linear_vae,100,k_truss,0.29930801786523176,0.22998251383787363,180.5394229888916
blogs,True,linear_vae,100,k_truss,0.06830816462121429,0.06443298969072167,37.61474895477295
blogs,False,linear_vae,100,k_truss,0.06830816462121429,0.06443298969072167,38.0759220123291
blogs,False,linear_vae,100,louvain,0.10617120036637703,0.14359861591695502,32.68486785888672
blogs,False,linear_vae,100,leiden,0.14821503422574248,0.19721050924424255,32.04059386253357
blogs,True,gcn_vae,100,leiden,0.10883210152746488,0.14396887159533078,59.386218547821045
blogs,True,linear_vae,100,leiden,0.14821503422574248,0.19721050924424255,70.65350389480591
blogs,True,linear_vae,100,leiden,0.14821503422574248,0.19721050924424255,71.85468125343323
blogs,True,linear_vae,100,louvain,0.10617120036637703,0.14359861591695502,36.42089223861694
citeseer,True,gcn_vae,100,louvain,0.2659275261690664,0.2608841519625908,393.5112199783325
blogs,True,gcn_vae,100,louvain,0.10883210152746488,0.14396887159533078,96.68945097923279
